id,title,address,img_url
71,"로로네집 커피룸&amp;빈티지","대전광역시 유성구 원신흥남로41번길 11-12",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CdeQsE-V0Ys3X1yhiCoI_w&amp;cb_client=search.gws-prod.gps&amp;w=408&amp;h=240&amp;yaw=339.24365&amp;pitch=0&amp;thumbfov=100
72,"싱크커피 로스터스","대전광역시 중구 선화동 중앙로79번길 23",https://lh5.googleusercontent.com/p/AF1QipPvo7F0ePsEX0twGKePu5ouatTgTD9SPy1v3MZc=w408-h408-k-no
73,여전히잘,"대전광역시 중구 대흥동 중앙로112번길 29",https://lh5.googleusercontent.com/p/AF1QipPLCnGjqWCpeJzZnJNbsq178pgalJKl3RdchbKe=w532-h240-k-no
74,나우이즈굿,"대전광역시 중구 대흥로121번길 2",https://lh5.googleusercontent.com/p/AF1QipPQtgfqgASeKBOSddQQOXOAZQ98X8s8uZXtMuLh=w408-h408-k-no
75,디아로마,"대전광역시 KR",https://lh5.googleusercontent.com/p/AF1QipO16WKVoz3a1bOeCZgAJcX-bkmMUIhuKNURw6CT=w408-h306-k-no
76,"팡파레 과자점",NULL,
77,"아이앤알 커피 로스터스",NULL,
78,TeaAmi,"대전광역시 서구 둔산중로32번길 35",https://lh5.googleusercontent.com/p/AF1QipPv4ACzmKMgWNPrRPrD-K3gSLwCYuzfNNwcGyNS=w408-h306-k-no
79,모드니,"대전광역시 유성구 반석동 461",https://lh5.googleusercontent.com/p/AF1QipPHHZrYpRRiBu4zmj0pWn6NL_uQqF21Hy9YWyg=w408-h306-k-no
80,탑립커피,"대전광역시 유성구 탑립동 엑스포로 600",https://lh5.googleusercontent.com/p/AF1QipOx03aPBIPwpRab12E4DQ2eLiO6CyZVA_XUT586=w408-h306-k-no
81,은파,"대학로159번길 2 KR 대전광역시 유성구 1층",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-2JBD_yrFiMHk9bLKDvPog&cb_client=search.gws-prod.gps&w=408&h=240&yaw=293.22876&pitch=0&thumbfov=100
